XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
15244,1.92,2.00,-1.92,-1.22
15254,1.93,2.00,-2.01,-1.40
15264,1.92,2.00,-2.06,-0.76
15275,1.93,2.00,-2.10,-0.62
15284,1.90,2.00,-2.13,-0.40
15294,1.91,2.00,-2.13,0.05
15304,1.93,2.00,-2.11,0.32
15314,1.92,2.00,-2.09,0.33
15325,1.90,2.00,-2.05,0.70
15334,1.92,2.00,-1.98,1.12
15344,1.92,2.00,-1.90,1.28
15354,1.92,2.00,-1.83,1.14
15365,1.92,2.00,-1.74,1.44
15374,1.92,2.00,-1.65,1.46
15384,1.92,2.00,-1.56,1.46
15394,1.92,2.00,-1.46,1.62
15405,1.90,2.00,-1.36,1.65
15415,1.92,2.00,-1.27,1.45
15424,1.92,2.00,-1.20,1.14
15434,1.92,2.00,-1.13,1.14
15444,1.91,2.00,-1.07,1.01
15455,1.92,2.00,-1.03,0.67
15464,1.92,2.00,-1.00,0.52
15474,1.92,2.00,-0.99,0.21
15484,1.92,2.00,-1.00,-0.11
15495,1.92,2.00,-1.03,-0.42
15505,1.92,2.00,-1.07,-0.58
15514,1.92,2.00,-1.12,-0.74
15524,1.93,2.00,-1.20,-1.22
15535,1.90,2.00,-1.29,-1.32
15545,1.93,2.00,-1.38,-1.38
15555,1.92,2.00,-1.52,-2.15
15564,1.91,2.00,-1.65,-1.98
15575,1.92,2.00,-1.77,-1.84
15585,1.91,2.00,-1.91,-2.14
15595,1.93,2.00,-2.05,-2.19
15604,1.91,2.00,-2.19,-2.15
15614,1.92,2.00,-2.32,-2.02
15625,1.92,2.00,-2.46,-2.18
15635,1.91,2.00,-2.57,-1.69
15645,1.92,2.00,-2.67,-1.55
15654,1.91,2.00,-2.77,-1.54
15665,1.92,2.00,-2.85,-1.25
15675,1.92,2.00,-2.90,-0.78
15685,1.92,2.00,-2.94,-0.61
15694,1.91,2.00,-2.97,-0.44
15705,1.92,2.00,-2.95,0.32
15715,1.92,2.00,-2.93,0.33
15725,1.92,2.00,-2.89,0.64
